mon_01,mon_02,mon_03,mon_04,mon_05,mon_06
mực xào ớt chuông,đậu rán,đỗ luộc,canh ngao chua,,
thịt gà rang gừng,giò lụa,súp lơ luộc,canh mướp nấu tôm,,
cá diếc chiên ròn,chả lá lốt,bí đao cuốn thịt,canh cà bung,,
trứng chim cút chiên xù,thịt kho dừa,nộm dưa chuột,rau muống luộc,,
sườn xào chua ngọt,rau mồng tơi xào tỏi,canh ngao chua,,,
cá bống kho,súp lơ luộc,canh cải thịt băm,,,
cá ba sa chiên xù,canh cải thảo nấu thịt,bắp xào,,,
thịt lợn rang cháy cạnh,cà tím om ngũ vị,canh hến nấu chua,,,
trứng đúc thịt,canh dưa thịt bò,nộm hoa chuối,,,
trứng đúc thịt,măng xào hành tỏi,canh bầu nấu ngao,,,
cá trứng chiên giòn,rau muống xào tỏi,cà pháo,,,
cá diếc chiên giòn,giá xào,canh mướp mồng tơi,cà pháo,,
mực chiên xù,canh bầu nấu tôm,đậu bắp luộc,,,
thịt lợn rang cháy cạnh,canh bí đỏ thịt nạc,ngồng cải luộc,,,
trứng cút kho tàu,ngao xào me,canh nấm thịt bò,,,
cá kèo kho tiêu,trứng ốp la,canh rau ngót thịt băm,cải chip luộc,,
tôm cuộn khoai tây chiên,su su luộc,canh rau ngót thịt băm,,,
nem rán,hoa thiên lý xào tỏi,canh bí nấu tôm,,,
tôm rang chua ngọt,rau lang luộc chấm tương,canh rau dền,,,
đậu sốt tứ xuyên,mướp hương xào nấm,canh cải nấu ngao,,,
tôm hấp muối,bột cuộn cá chẽm nướng,canh chua cá hồi,nho,,
đậu hũ dồn thịt xốt cà chua,rau dền luộc,canh cải ngọt nấu thịt băm,táo,,
lẩu nấm,chè hạt sen nhãn nhục,,,,
thịt ba rọi kho trứng,củ sen xào tôm,canh cải cúc nấu bò,dưa hấu,,
cá trứng nướng muối ớt,rau muống luộc ,canh chua tép,dưa lưới,,
xôi bắp,sữa tươi,,,,
lươn um nước dừa,rau lang luộc,canh khoai môn nấu tôm,nước rau má,,
cà ri bắp bò sanwich,milo nóng,,,,
thịt vịt rang muối,cải thìa xào tỏi,canh khổ qua cá thác lác,sinh tố cà chua,,
lươn xào sả ớt,rau cải xanh nấu ruốc,"rau càng cua trộn trứng, giấm đường",,,
miến cua xào,"nước ép táo, nam việt quất",,,,
tôm rim,thiên lý xào thịt bò ,canh củ năng nấu sườn non,sinh tố dưa gang,,
chả giò cá lóc,cà tím nướng,canh cá lóc nấu thơm,chè đậu đen,,
cá chim chiên tỏi,trứng hấp tôm,canh nấm rau củ,sữa chua,,
bánh bao,nước ép bưởi,,,,
thịt gà xào sa tế,bí đao om mỡ hành,canh cải cúc nấu thịt bò,nước ép nho,,
súp cốm,sinh tố khoai mỡ và khoai môn,,,,
cà ri nướng,sữa tươi,,,,
bún gạo xào,sữa tươi,,,,
mực dồn thịt chiên,rau muốn xào,canh khoai sọ nấu sườn,nước cam,,
mực xào cà ri,rau muống xào chao,cá trắm nấu ngót,lê chẻ,,
phi lê cá ngừ viên sanwich,nước ép bưởi,,,,
mực dồn thịt,su hào luộc,canh thìa là cá điêu hồng,chè đậu xanh đánh,,
bắp bò hầm đậu trắng ăn kèm bánh mì,nước ép nho,,,,
thịt ba rọi quay,xà lách trộn bạch tuộc,canh đậu phụ cá trích,nước ép cóc,,
nui xào hải sản,nước ép ổi,,,,
đùi ếch chiên bột,vịt xào gừng,canh mướp hương nấm rơm,dâu giằm,,
thịt xông khói xào măng tây,bò xào tỏi tây,canh súp khoai tây cà rốt,sinh tố cà chua,,
cá chẻm hấp cải bẹ xanh,xà lách trộn giấm,canh đu đủ hầm xương bò,nước cam,,
xôi gà quay,sinh tố sa-pô-chê,,,,
thịt heo xào cải,gà kho gừng,canh giò sống rau ngót,sinh tố bơ,,
nui xào bò,nước cam vắt,,,,
thịt đông,bò xào cà ri,canh cá chép đậu đỏ,sơ ri ướp lạnh,,
tôm chua riềng,bông bí xào ức gà,canh bí đỏ nấu sườn,nước ép dưa hấu,,
thịt nạc kho tiêu,giá hẹ xào tim heo,canh bầu nấu tôm,nước ép ổi,,
súp bó xôi thịt cua,sữa đậu nành,,,,
cá chạch kho lá nghệ,canh cải xooang cá thác lác,đậu hũ chiên xù,lê ướp lạnh,,
cá chẻm chiên xù,bò xào bông cải,khổ qua dồn thịt,sinh tố dâu,,
cơm chiên dương châu,nước củ sen,,,,
điêu hồng kho tương,mướp xào lòng heo,hoa chuối cá kèo,rau câu dừa,,
cá lóc nướng trui,canh bí đỏ nấu tôm khô,trứng chiên thịt,mận,,
cháo thịt thỏ,nước ép vải ,,,,
bún đậu phụ mắm tôm,sinh tố chuối và dứa ,,,,
gan heo hầm hà thủ ô,cải mầm trộn dầu giấm,canh chua tôm ngó sen,nước ép cà rốt,,
bánh canh ghẹ,nước rau má,,,,
cá trê chiên giòn,giá xào hẹ,canh ngót nấu bò,bánh flan,,
bún mọc,sữa đậu phộng,,,,
miến gà,chuối cau,,,,
ngan kho gừng,cải thìa xào dầu hào,ngót nấu cá khoai,sinh tố đu  đủ,,
bún gạo xào hải sản,nước ép táo,,,,
bắp bò ngâm nước mắm,rau muống xào tỏi,canh hến nấu khế,nước ép củ dền,,
cá thu chiên xốt chanh dây,tôm xào hạnh nhân,cải xooang nấu bò,sinh tố sa-bô-chê,,
cá lóc kho tộ,cà chua dồn cốm chiên,móng heo hầm hạt sen,chè hạt sen,,
ếch chiên bơ,măng xào lá lốt,canh đu đủ nấu giò heo,mận ướp lạnh,,
tôm kho rim,cải dún xào gan,rau đắng đất nấu cá lóc,sinh tố cà chua,,
sanwich kẹp jambon xông khói,sữa cacao,,,,
thịt bò xào cà ri,đậu rồng xào,hến nấu thì là,hạt điều gương,,
cá cơm chiên bột ,đậu bắp xào nấm rơm ,canh tần ô thịt bò,dưa hấu,,
bánh mì ốp la ,sữa tươi,,,,
thịt kho củ cải,cải thìa luộc,canh khoai mỡ nấu thịt bằm,trà gừng,,
bánh hỏi thịt nướng,sữa đậu nành,,,,
sườn chiên xả ớt,cải thìa xào tôm,canh củ dền nấu tôm tươi,đậu phộng da cá,,
sườn heo sốt bbq ,ngồng cải chấm nước mắm trứng ,canh cải cúc thịt bằm,nước ép táo xanh,,
cá bống kho tiêu,rau cải xanh luộc,canh củ cải nấu bò,mãng cầu giằm sữa,,
mì gói nấu hải sản,nước sấu ngâm,,,,
tôm hấp nước dừa,cà ri mực,kem sầu riêng,,,
cháo đậu đỏ,sữa đậu nành,,,,
canh rau muống nấu hến,mực trứng kho tộ,hải sản xào rau củ,nước ép thơm,,
canh astiso nấu hải sản,cá sốt chanh dây,tôm xào hạnh nhân,chè đậu xanh,,
súp măng sò điệp,bún mắm,sinh tố kiwi,,,
hamburger bò,nước ép bưởi,,,,
miến xào cua,nước mơ ngâm,,,,
xôi mặn,nước chanh  muối,,,,
canh mướp nấu nấm rơm,bò rim ngũ vị,dưa khổ qua đèo,chè bắp,,
canh cải thảo nấu thịt băm,bê xào lá nghệ,cà tím chiên giòn,dưa hấu ướp lạnh,,
bánh bèo,nước trà gừng,,,,
cá chạch kho lá nghệ,canh cải xoong cá thác lác,đậu hũ chiên xù,lê ướp lạnh,,
nui xào hải sản,nước ép ổi,,,,
cá rô kho rau răm,nấm bào ngư xào thịt heo,canh khổ hoa dồn thịt lợn,chè mủ trôm,,
xà lách trộn thịt bò,thịt lẩu xào hành tây ngâm chua,đậu que xào tỏi,sinh tố sa-bô-chê,,
bánh bao,sữa tươi,,,,
súp tương miso trứng nấm,sinh tố cà chua,,,,
bánh đa cua,trà chanh,,,,
bún thang,nước mía,,,,
canh giò heo nấu măng,thịt nạc kho tiêu,đọt bí xào tỏi,trái cây ướp lạnh,,
bột chiên,nước rau má,,,,
bún bung,sinh tố bơ,,,,
bún cá,nước cam,,,,
canh bí đỏ hầm giò heo,đùi gà om sả tế,rau mồng tơi xào tỏi,chè táo xọn,,
cá trê kho tương,rau bí xào tỏi,canh gà nấu lá giang,mứt thơm,,
đùi gà chiên tỏi ớt,dưa món,canh cá điêu hồng chua ngọt,sấu ngăm đường giằm đá,,
cơm tấm,nước rau má đậu xanh,,,,
canh cá lóc nấu cần,thơm may mắn,cải chua xào trứng,chè thái,,
ba rọi chiên nước mắm,xà lách trộn dầu giấm,bí đỏ nấu sườn heo,chuối cau,,
canh tôm nõn nấu bí đao,tôm rang trứng muối,salad rau mầm ,mít ướp lạnh,,
salad trái cây,mì xào dòn,bánh flan,,,
