item_id,actual_id,title,category,recipes
56,5cbf3d29a29e122e4c79a9a8,Mâm 61,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt kho trứng', 'nem rán', 'mướp đắng nhồi thịt', 'nộm đu đủ']"
57,5cbf3d25a29e122e4c79a9a7,Mâm 60,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Ốc xào cay', 'cua đồng rang muối', 'rau muống xào tỏi', 'canh cua rau đay']"
58,5cbf3d1ca29e122e4c79a9a4,Mâm 56,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá cơm chiên ròn', 'thịt quay giòn bì', 'rau muống xào tỏi', 'canh mướp đắng nhồi thịt']"
59,5cbf3d1ca29e122e4c79a9a1,Mâm 53,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Chả cá rán', 'đậu tẩm hành', 'rau muống xào tỏi', 'canh rau chua']"
60,5cbf3d31a29e122e4c79a9b0,Mâm 69,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Mướp đắng nhồi thịt', 'đậu trắng sốt cà chua', 'canh đậu hũ', 'dưa bắp cải']"
61,5cbf3d39a29e122e4c79a9b4,Mâm 73,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Mực trứng hấp', 'sườn sụn sốt chua ngọt', 'canh khoai sọ rau rút', 'cà pháo']"
62,5cbf3d50a29e122e4c79a9c3,Mâm 88,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cánh gà xào chua ngọt', 'trứng cút chiên xù', 'canh bí đỏ nấu sườn', 'dưa chua']"
63,5cbf3d54a29e122e4c79a9c7,Mâm 92,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá chạch rán giòn', 'chả lá lốt', 'đậu phụ sống', 'canh bí đỏ']"
64,5cbf3d5ca29e122e4c79a9cc,Mâm 97,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Tôm rang thịt', 'lạc rang', 'canh cua rau đay', 'cà pháo']"
65,5cbf3d5ca29e122e4c79a9cf,Mâm 100,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Nộm gà xé phay', 'cá rô chiên giòn', 'canh rau cải ngọt', 'dưa muối']"
66,5cbf3d3ea29e122e4c79a9b8,Mâm 77,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Trứng tráng', 'cá rô phi chiên giòn', 'canh cua rau đay', 'cà muối sổi']"
67,5cbf3d4ca29e122e4c79a9c0,Mâm 85,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Trứng tráng', 'đậu phụ tứ xuyên', 'nộm sứa', 'canh cải ngọt nấu ngao']"
68,5cbf3d5ca29e122e4c79a9ca,Mâm 95,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá om dưa', 'lòng luộc', 'rau sống', 'canh cải nấu thịt băm']"
69,5cbf3d5ca29e122e4c79a9d0,Mâm 101,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá chim rán', 'canh rau ngót thịt băm', 'cà muối sổi', 'dưa muối']"
70,5cbf3d5ca29e122e4c79a9cd,Mâm 98,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Chả lá lốt', 'cua đồng rang muối', 'rau muống luộc', 'canh rau chua']"
71,5cbf3d31a29e122e4c79a9ad,Mâm 66,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Gà nướng mật ong', 'dưa xào thịt bò', 'đậu phụ luộc', 'canh ngao nấm kim châm']"
72,5cbf3d31a29e122e4c79a9ae,Mâm 67,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Trứng đúc thịt', 'cá bống chiên giòn', 'canh khoai nấu sườn', 'rau cải luộc']"
73,5cbf3d39a29e122e4c79a9b5,Mâm 74,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Canh riêu cua', 'đậu phụ sống', 'rau sống', 'dưa chuột chẻ']"
74,5cbf3d3ea29e122e4c79a9b9,Mâm 78,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá rán giòn', 'tôm sốt cà chua', 'rau muống xào tỏi', 'canh rau chua']"
75,5cbf3d54a29e122e4c79a9c6,Mâm 91,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá diêu hồng hấp', 'canh dưa thịt bò', 'dưa chuột chẻ', 'rau sống']"
76,5cbf3d5ca29e122e4c79a9d4,Mâm 105,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá cơm rang', 'thịt lợn luộc', 'rau muống xào', 'cà pháo']"
77,5cbf3d5ca29e122e4c79a9d6,Mâm 107,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá tẩm bột chiên', 'canh đầu cá nấu chua', 'salad cà chua dưa chuột', 'rau sống']"
78,5cbf3d3ea29e122e4c79a9b6,Mâm 75,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Bắp bò luộc ngũ vị', 'sườn xào chua ngọt', 'đậu tẩm hành', 'rau lang luộc']"
79,5cbf3d42a29e122e4c79a9bc,Mâm 81,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Chả cá rán', 'đậu phụ sống', 'dưa chuột bao tử muối', 'canh khoai tây nấu sườn']"
80,5cbf3d50a29e122e4c79a9c2,Mâm cơm 87,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Gà quay mật ong', 'dưa góp', 'dưa chuột chẻ', 'canh khoai tây nấu sườn']"
81,5cbf3d5ca29e122e4c79a9ce,Mâm 99,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Lòng xào dưa', 'cánh gà chiên mắm', 'khoai môn lệ phố', 'súp lơ luộc']"
82,5cbf3d64a29e122e4c79a9d9,Mâm 110,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Tôm rang', 'chả cốm', 'ngọn su su xào tỏi', 'cà muối']"
83,5cbf3d43a29e122e4c79a9be,Mâm 83,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Nộm tai heo', 'trứng hấp vân', 'cải chíp\xa0xào nấm', 'canh giá đỗ cải thảo']"
84,5cbf3d50a29e122e4c79a9c5,Mâm 90,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt chân giò luộc', 'đậu rán giòn', 'lạc rang', 'canh cua rau đay mướp', 'cà pháo']"
85,5cbf3d54a29e122e4c79a9c8,Mâm 93,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Đậu tẩm hành', 'thịt viên sốt cà chua', 'lạc rang', 'canh su hào nấu tôm']"
